title
NightWatch 1994 Denmark
The quiet girl 2022
Picnic (1955) Kim Novak - William Hodeln
Paris When It Sizzles (Audrey Hepburn - William Holden)
Strangers When We Meet (1960) Kim Novak
"Bell, Book and Candle (1958)"
L.A Confidiental
A room with a view (James Ivory)
Apocalypse Now
Desayuno con diamantes 1961
The Worst Person in the World
"Paris,Texas MOST SAD MOVIE"
La decisión de Sofía
The covenant 2023
La mujer que cantaba
Más allá de la vida
The Dreamers 2003
Bed and board
Two Lovers (2008)
los amantes
Instinct Anthony Hopkins
Aires de esperanza
Little Children
summer tale FR
C’mon C’mon
La Femme de l'aviateur
The Remains of the Day
Las vírgenes suicidas
The Burning Plain
HEAT
TRES 2011
Los renglones torcidos de Dios
Revolutionary Road
Guerra y paz
Pearl 2022
Never Let Me Go
Realmente Amor
El amor en los tiempos del cólera
La dama de hierro
The Apartment
Manchester by the Sea
el ultimo traje
Scenes from a Marriage
In the mood of love
birth 2004
Antichrist
The Worst Person In The World
the banker 2020
Carol Kate Blanceht-Rooney Mara
cafe society
8 1/2
La dolce Vita
the favourite
Jane Eyre 1996
Love in the Afternoon 50's
Endless Love
Mogambo
el merodeador 1951
Atonement
falling in love 1984
Babylon 2022
La faute a fidel
TRAINSPOTTING
training day Denzel Washintong
A lot like love
The Magic of Ordinary
Sleepless in Seattle
La Haine
FR-Conte d’été (SAGA)
blue jasmine -Woody Allen
encadenados 1946
Half Nelson
Las mujeres perfectas
a serious man
bones and all
Biutiful
Revolutionary road
Madame Bovary
The Secret Scripture
En el nombre del hijo
Donniedarko & s.darko
l'enfer 1994 PELICULON
Gli anni più belli
L'ultimo bacio
Ricordati di me
Caitlin Cronenberg humane
FR MI VIDA ES UN ROMPECABEZAS
FR MEKTOUB MY LOVE
FR NATALIA 1988
FR LA BELLE ÉPOQUE
El placer de estar contigo
Director: Claude Chabrol
La Fille seule
FR Samba 2014
FR- La ceremonia
FR- one sings the other dosent
La Belle Noiseuse - Drama Adaptado 1900
Damage 1992
L'événement
Director: Krzysztof Kieślowski
Perfect Days
Nimic
Past Lives
Casino
The Human Stain - A.Hopkins
Billy Bathgate
boardwalk Empire
La delgada línea roja
A hidden Life
Luchino Visconti
Quien le teme a virginia woolf
Guerra y paz 1956
Sergio 2020
El romance del siglo
21 gramos
reality bites ROMCOM
Los falsificadores
ron leshem (series y películas)
Una historia de amor y oscuridad
Close 2022
testigo en peligro
Sin reservas
Anna kannerina
the voyager 1991
las horas más oscuras
Hanna 2011
Brazil 1985
Spotlight
begin again
el hombre que conocía el infinito
nightcrawler
Pecados de guerra
serpico
el graduado
and justice for all
rain man
sea of love
Glengarry Glen Ross
Tar
synecdoche new york
blackberry
match point
cuando éramos soldados
Ghandi
camino a la perdición
la piel que hábito
apocalipsis ahora
animales nocturnos
lost in translation
The secret life of words
Pi fe en el caos
The untouchables
The square
Triangle of sadness
Tourist ruben ostland
La piscina 1969
Demolición
shameless (Serie)
to big to fall
after sun
Glengarry Glen Ross
Ridley Scott
Boiling point
oldboy
Decision to leave
me enamore de un maniquí
Primer
Passenger 57
proof
Mr nobody
The gentleman
Transcendence
el castillo de cristal
El atlas de las nubes
Exam
Funny Game 2007
Un cadáver para sobrevivir
Coherence
Orígenes
Resolution 2012
Trance
Stay 2005
Revolver
La aldea
12 monos Bruce willis
Predestination
Requiem Dream
The Time shifter
La isla de las mentiras
The infinite Man 2014
El incidente 2014
Triangle 2009
Piso 13 1999
Devils pass 2013
The endless
Historia de fantasmas
Si no despierto
Timelapse/panabaker
El doble
Being John malkovich
The jacket
Deja vu
Richard jewell
The silence (dir:dark:)
Looper
Cronocrimenes
gattaca
El aura
Mulholland dr
The lobster
Casablanca
Rain Man
El árbol de la vida Brad
Insomnia
Blade runner
El libro negro
Ladrón de orquídeas
Flyboys
Equilibrium
Solo un sueño DiCaprio
Suits
Magnolia
reign over me
The master
dog day afternoon
Prisoners
The meyerowitz
Wag the dog
good time
Anomalía
Apuesta final
Wanted
Insomnia
El imperio del sol
The Master: todo hombre necesita un guía
La hora 25
Career opportunities
Phillip Seymour Hoffman
The Game D.Fincher
Au bout des doigts -FR
Enemy
Argentina 1985
Camila (ARG)
Plata quemada (ARG)
LA CORDILLERA (ARG) Darin
Votos de amor
Colmillo blanco
La Playa
the last castle
Tarantino
The margin call
The Boiler room
Un Cuento Chino
The Lost Daughter
VIEWED
Dead Poety Society
PAST LIVES
To the wonder Ben affleck MALA
Hollywood (miniserie) 2020 SESIÓN
Mi amigo Enzo
El hombre irracional - Joaquín Phoenix
El espejo tiene dos caras
Editando el Amor - 9/10 SAD
Bajo el sol de Toscana 8/10
the bridges of Madison county
All the bright places
MIELE ITALIAN - Eutanasia
the yards 2000 7.5/10
Como ser soltera - dakota johnsson
Love and Distrust *MALA
El Secreto De Adaline - Blake Lively
Señales de amor
Mi Vida sin mi
Antes de partir - Morgan Freeman Jack Nicholson
shame 2011 Michael Fassbender
Kids in Love hopeless love
Duelo Steven spielberg 1971
Sweet November - Romantica - Charlize Theron Keanu reeves
Orgullo y Prejuicio
Normal People SERIE 8/10
Jane Eyre 2011
Babel 2006 - Brad Pitt 7.5/10
paris je t'aime
the double life of Veronica
Una pasión secreta Kate winslet-- PELICULON
Lost in Translation -scarlett johansson bill murray Romantica - japon 8.5/10
La doble vida de Verónica MALA
Million Dollar Baby Clint Eastwood
Love and Other Drugs anne hatteway
Cómo robar un millón de dólares - William Wyler
One Day - Romántica-anne hatewey
Solo un Hombre Collin firth (6.5/10)
Roman Holiday - PELICULON - 1950
Como robar un millón de dólares Wyler-A.Humprey Peliculón
La mentira infame William Wyler
Votos de amor
"Con amor, Liza (MALA)"
Cuando harry encontró a sally
el insulto (libanésa) 8/10
Wall Street: Money Never Sleeps 1987
blade runner 2049
Un Amor Para Recordar
Lolita
Elegy
antes del amanecer
Walter mitty
wiplash
todos lo saben
el diablo viste a la moda
12 años de esclavitud
La dalia negra
Mis dos vidas (romántica) 7/10
la odisea de los giles 7.7/10
match point woody allen PELICULON
operación telemark
grand piano
margin call
Memento
Munich
Número 23 Jim carrey
snowden
Agentes del destino
2001 space oddysey
The piladelphia experiment 2012
Faq about time travel
Sabrina 1954 -Humprey Bogart Audrey Hepburn
Pulp fiction
American histoyry
Ammonite - Kate winslet 5/10
X+y
"Definitely, Maybe Ryan Reynolds RomCom"
El talentoso Sr. Ripley
Postdata te amo
Kramer vs kramer 7.5/10
la cacería
la ciudad de tu destino final 7/10 drama en uruguay antony hopkins
never look away - pelicula alemana
lo mejor de mi vida -Gabriele muccino -Rusell Crowe
Teheran Serie
ojos bien cerrados - Kubrick
De amor y otras adicciones
white boy Rick
ludmyla pavlichenko
Drive Ryan gosling 5.5/10
Ventajas de der invisible
recuérdame PELICULON r.pattinson
marriage history PELICULON -scarlet johannson
diario de una pasión Rachel Mcadams
un método peligroso PELICULON -JUNG -FREUD
Los agentes del destino -Matt Damon
A Bronx Tale- Deniro
cinema paradiso PELICULON
nocturnal animals
allied 2016 Bradd pitt
Narvik II GUERRA MUNDIAL Noruega
tropas de elite 7.8/10 BRAZIL
no conoces a Jack
V de vendeta 8.5/10
Agente cipol
The Box 2009 7.6/10
Ciudad de dios 9.6/10
Isla siniestra 9.7/10
El expresodel miedo 8.8/10
American gángster DENZEL WASHINTONG
Contratiempo 6.6/10
Snatch: cerdos y diamantes
Her Phoenix
La ola /die welle 8.2/10
Eterno resplandor jim 7.8/10
Frecuencias oxv the manual 6.7/10
Cisne negro
About time 8.4/10
Tenemos que hablar sobre Kevin 8/10
The Time traveler wife
moneyball
Código fuente 8.1/10
El vendedor de sueños 8.5/10
Inception 8.8/10
Mente indomable 8.6/10
The Giver 8.8/10
dias de ira 7.9/10
Sin limites 8/10
Erase una vez en America #
Fight club 8.9/10
Sueños de libertad
American Psycho#
Poder sin limites #
Hombres de honor 8.8/10
perfume de mujer #
A beatiful mind 2001 8.1/10
Un don excepcional
Los infiltrados
Call me by your name
The shape of water
Juego de honor
El sustituto 9.5/10 o #
One Last thing - Dentista Florida Hija
Dune 2
ONE LIFE- ANTHONY HOPKINS
el outsider
"expiación, deseó y pecado"
Flight Plan
